algorithm,time_elapsed,coverage_type,category,mean,std,min,max,sample_size
collaborative,550,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,550,code,large,90.34554535303585,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,552,code,global,90.2013592843323,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,552,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,552,code,large,90.3455453530359,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,554,code,global,90.2013592843323,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,554,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,554,code,large,90.3455453530359,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,556,code,global,90.20135928433228,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,556,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,556,code,large,90.34554535303589,16.613039471940056,33.522504892367905,99.86807387862797,125
collaborative,558,code,global,90.20135928433228,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,558,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,558,code,large,90.34554535303589,16.61303947194005,33.522504892367905,99.86807387862797,125
collaborative,560,code,global,90.2013592843323,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,560,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,560,code,large,90.3455453530359,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,562,code,global,90.20135928433227,16.67606191282501,33.522504892367905,99.86807387862797,127
collaborative,562,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,562,code,large,90.34554535303586,16.61303947194005,33.522504892367905,99.86807387862797,125
collaborative,564,code,global,90.20135928433231,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,564,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,564,code,large,90.3455453530359,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,566,code,global,90.20135928433227,16.67606191282501,33.522504892367905,99.86807387862797,127
collaborative,566,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,566,code,large,90.34554535303587,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,568,code,global,90.20135928433228,16.676061912825006,33.522504892367905,99.86807387862797,127
collaborative,568,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,568,code,large,90.34554535303589,16.613039471940052,33.522504892367905,99.86807387862797,125
collaborative,570,code,global,90.21414770898105,16.682769295487404,33.522504892367905,99.86807387862797,127
collaborative,570,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,570,code,large,90.35853839247903,16.619767190316967,33.522504892367905,99.86807387862797,125
collaborative,572,code,global,90.21414770898107,16.682769295487407,33.522504892367905,99.86807387862797,127
collaborative,572,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,572,code,large,90.35853839247906,16.619767190316967,33.522504892367905,99.86807387862797,125
collaborative,574,code,global,90.21414770898106,16.682769295487404,33.522504892367905,99.86807387862797,127
collaborative,574,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,574,code,large,90.35853839247903,16.619767190316963,33.522504892367905,99.86807387862797,125
collaborative,576,code,global,90.21414770898106,16.682769295487404,33.522504892367905,99.86807387862797,127
collaborative,576,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,576,code,large,90.35853839247905,16.619767190316967,33.522504892367905,99.86807387862797,125
collaborative,578,code,global,90.21414770898102,16.682769295487404,33.522504892367905,99.86807387862797,127
collaborative,578,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,578,code,large,90.35853839247902,16.61976719031696,33.522504892367905,99.86807387862797,125
collaborative,580,code,global,90.2141477089811,16.682769295487404,33.522504892367905,99.86807387862797,127
collaborative,580,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,580,code,large,90.35853839247908,16.619767190316967,33.522504892367905,99.86807387862797,125
collaborative,582,code,global,90.21414770898105,16.682769295487404,33.522504892367905,99.86807387862797,127
collaborative,582,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,582,code,large,90.35853839247903,16.619767190316967,33.522504892367905,99.86807387862797,125
collaborative,584,code,global,90.21414770898106,16.682769295487407,33.522504892367905,99.86807387862797,127
collaborative,584,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,584,code,large,90.35853839247905,16.619767190316967,33.522504892367905,99.86807387862797,125
collaborative,586,code,global,90.21414770898109,16.682769295487404,33.522504892367905,99.86807387862797,127
collaborative,586,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,586,code,large,90.35853839247908,16.619767190316967,33.522504892367905,99.86807387862797,125
collaborative,588,code,global,90.21414770898107,16.682769295487407,33.522504892367905,99.86807387862797,127
collaborative,588,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,588,code,large,90.35853839247906,16.619767190316963,33.522504892367905,99.86807387862797,125
collaborative,590,code,global,90.21414770898107,16.682769295487404,33.522504892367905,99.86807387862797,127
collaborative,590,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,590,code,large,90.35853839247906,16.619767190316967,33.522504892367905,99.86807387862797,125
collaborative,592,code,global,90.22462643716285,16.68837435918376,33.522504892367905,99.86807387862797,127
collaborative,592,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,592,code,large,90.36918478031176,16.62539098309908,33.522504892367905,99.86807387862797,125
collaborative,594,code,global,90.22462643716281,16.688374359183758,33.522504892367905,99.86807387862797,127
collaborative,594,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,594,code,large,90.36918478031171,16.62539098309908,33.522504892367905,99.86807387862797,125
collaborative,596,code,global,90.22462643716287,16.688374359183765,33.522504892367905,99.86807387862797,127
collaborative,596,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,596,code,large,90.36918478031177,16.625390983099077,33.522504892367905,99.86807387862797,125
collaborative,598,code,global,90.22462643716283,16.688374359183758,33.522504892367905,99.86807387862797,127
collaborative,598,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,598,code,large,90.36918478031173,16.62539098309908,33.522504892367905,99.86807387862797,125
collaborative,600,code,global,90.22890911861086,16.682317140364372,33.522504892367905,99.86807387862797,127
collaborative,600,code,small,81.1897299903568,18.074975891996143,63.114754098360656,99.26470588235294,2
collaborative,600,code,large,90.37353598466292,16.619175651009762,33.522504892367905,99.86807387862797,125
collaborative,2,branch,global,82.00008190256025,18.323656685228297,0,100,124
collaborative,2,branch,large,82.00008190256025,18.323656685228297,0,100,124
collaborative,4,branch,global,83.41159053280106,17.98166710613681,0,100,125
collaborative,4,branch,large,83.41159053280106,17.98166710613681,0,100,125
collaborative,6,branch,global,85.06792578207708,17.194742640207238,0,100,125
collaborative,6,branch,large,85.06792578207708,17.194742640207238,0,100,125
collaborative,8,branch,global,85.4453918552868,17.115354478374016,0,100,125
collaborative,8,branch,large,85.4453918552868,17.115354478374016,0,100,125
collaborative,10,branch,global,85.91043180510226,16.7433000417349,0,100,125
collaborative,10,branch,large,85.91043180510226,16.7433000417349,0,100,125
collaborative,12,branch,global,86.30239455511453,16.7514400107364,0,100,125
collaborative,12,branch,large,86.30239455511453,16.7514400107364,0,100,125
collaborative,14,branch,global,86.4150892782658,16.71068409359576,0,100,125
collaborative,14,branch,large,86.4150892782658,16.71068409359576,0,100,125
collaborative,16,branch,global,86.53434853752505,16.702560600324052,0,100,125
collaborative,16,branch,large,86.53434853752505,16.702560600324052,0,100,125
collaborative,18,branch,global,86.6515446747212,16.70402281162639,0,100,125
collaborative,18,branch,large,86.6515446747212,16.70402281162639,0,100,125
collaborative,20,branch,global,86.99519715699068,16.650077811266,0,100,125
collaborative,20,branch,large,86.99519715699068,16.650077811266,0,100,125
collaborative,22,branch,global,87.042889464683,16.67302030357063,0,100,125
collaborative,22,branch,large,87.042889464683,16.67302030357063,0,100,125
collaborative,24,branch,global,87.08205613134966,16.672572094833907,0,100,125
collaborative,24,branch,large,87.08205613134966,16.672572094833907,0,100,125
collaborative,26,branch,global,87.1807732253668,16.555374653816436,0,100,125
collaborative,26,branch,large,87.1807732253668,16.555374653816436,0,100,125
collaborative,28,branch,global,87.18077322536674,16.555374653816433,0,100,125
collaborative,28,branch,large,87.18077322536674,16.555374653816433,0,100,125
collaborative,30,branch,global,87.19276904563844,16.549817329166785,0,100,125
collaborative,30,branch,large,87.19276904563844,16.549817329166785,0,100,125
collaborative,32,branch,global,87.28669001828277,16.384860451690155,0,100,125
collaborative,32,branch,large,87.28669001828277,16.384860451690155,0,100,125
collaborative,34,branch,global,87.29538567045677,16.381509838708734,0,100,125
collaborative,34,branch,large,87.29538567045677,16.381509838708734,0,100,125
collaborative,36,branch,global,87.4681902571744,16.459967189559546,0,100,125
collaborative,36,branch,large,87.4681902571744,16.459967189559546,0,100,125
collaborative,38,branch,global,87.46819025717437,16.45996718955954,0,100,125
collaborative,38,branch,large,87.46819025717437,16.45996718955954,0,100,125
collaborative,40,branch,global,87.56596803495212,16.375795740431037,0,100,125
collaborative,40,branch,large,87.56596803495212,16.375795740431037,0,100,125
collaborative,42,branch,global,87.62996803495219,16.307326426948073,0,100,125
collaborative,42,branch,large,87.62996803495219,16.307326426948073,0,100,125
collaborative,44,branch,global,87.71377755876165,16.275542489251453,0,100,125
collaborative,44,branch,large,87.71377755876165,16.275542489251453,0,100,125
collaborative,46,branch,global,87.72146986645397,16.273394458900558,0,100,125
collaborative,46,branch,large,87.72146986645397,16.273394458900558,0,100,125
collaborative,48,branch,global,87.72762371260782,16.27149138722533,0,100,125
collaborative,48,branch,large,87.72762371260782,16.27149138722533,0,100,125
collaborative,50,branch,global,87.52101184882028,16.38762892001863,0,100,126
collaborative,50,branch,small,60,0,60,60,1
collaborative,50,branch,large,87.74117994361086,16.266379251012378,0,100,125
collaborative,52,branch,global,87.59547412165212,16.339216528927807,0,100,126
collaborative,52,branch,small,60,0,60,60,1
collaborative,52,branch,large,87.81623791462533,16.21619371385107,0,100,125
collaborative,54,branch,global,87.63860731695928,16.330296894151164,0,100,126
collaborative,54,branch,small,60,0,60,60,1
collaborative,54,branch,large,87.85971617549495,16.206541746518297,0,100,125
collaborative,56,branch,global,87.63860731695925,16.33029689415116,0,100,126
collaborative,56,branch,small,60,0,60,60,1
collaborative,56,branch,large,87.85971617549492,16.206541746518308,0,100,125
collaborative,58,branch,global,87.63860731695921,16.330296894151157,0,100,126
collaborative,58,branch,small,60,0,60,60,1
collaborative,58,branch,large,87.8597161754949,16.2065417465183,0,100,125
collaborative,60,branch,global,87.64154676434313,16.327888174270402,0,100,126
collaborative,60,branch,small,60,0,60,60,1
